Song,Album debut,Songwriter(s),Lead vocal(s),Year,Notes,Ref(s)
"""Taking a Trip to Carolina""",Let It Be... Naked - Fly on the Wall bonus disc,Starr,Starr,1969,,
"""A Taste of Honey""","UK: Please Please Me
US: The Early Beatles","Bobby Scott
Ric Marlow",McCartney,1963,Cover,[19]
"""Taxman""",Revolver,Harrison,"Harrison
(with Lennon and McCartney)",1966,McCartney plays guitar solo,[43]
"""Teddy Boy""",Anthology 3,McCartney,McCartney,1969,"""Let It Be"" outtake",
"""Tell Me What You See""","UK: Help!
US: Beatles VI","McCartney
(with Lennon)","McCartney
(with Lennon)",1965,,[5][39]
"""Tell Me Why""","UK: A Hard Day's Night
US: Something New",Lennon,Lennon,1964,,[11][12]
"""Thank You Girl""","UK: Rarities
US: The Beatles Second Album","Lennon
McCartney","Lennon
McCartney",1963,"Non-album single
B-side of ""From Me To You""",[38]
"""That Means a Lot""",Anthology 2,McCartney,McCartney,1965,"Recorded by P.J. Proby
(1965)",
"""That'll Be the Day""",Anthology 1,"Jerry Allison
Buddy Holly
Norman Petty",Lennon,1958,Cover,
"""That’s All Right (Mama)""",Live at the BBC,Arthur Crudup,McCartney,1963,Cover,
"""There's a Place""","UK: Please Please Me
US: Rarities","Lennon
McCartney","Lennon
McCartney",1963,,[19]
"""Things We Said Today""","UK: A Hard Day's Night
US: Something New",McCartney,McCartney,1964,,[17][18]
"""Think for Yourself""",Rubber Soul,Harrison,Harrison,1965,,[41]
"""This Boy""","UK: Rarities
US: Meet the Beatles!",Lennon,"Lennon
(with McCartney and Harrison)",1963,"Non-album single
B-side of ""I Want To Hold Your Hand""",[8]
"""Three Cool Cats""",Anthology 1,Jerry Leiber and Mike Stoller,Harrison,1962,Cover,
"""Ticket to Ride""",Help!,Lennon,"Lennon
(with McCartney)",1965,,[16]
"""Till There Was You""","UK: With the Beatles
US: Meet the Beatles!",Meredith Willson,McCartney,1963,Cover,[7][40]
"""Tip of My Tongue""",Unreleased,"Lennon
McCartney","Lennon
McCartney",,"Recorded by Tommy Quickly
(Released in 1963)",
"""To Know Her is to Love Her""",Live at the BBC,Phil Spector,Lennon,1963,Cover,
"""Tomorrow Never Knows""",Revolver,Lennon,Lennon,1966,,[13]
"""Too Much Monkey Business""",Live at the BBC,Chuck Berry,Lennon,1963,Cover,
"""Twist and Shout""","UK: Please Please Me
US: The Early Beatles","Phil Medley
Bert Berns",Lennon,1963,Cover,[19]
"""Two of Us""",Let It Be,McCartney,"McCartney
(with Lennon)",1969,,[4]
"""Wait""",Rubber Soul,"McCartney
(with Lennon)",McCartney and Lennon,1965,,[48]
"""Watching Rainbows""",,"Lennon
and McCartney",Lennon,1969,,
"""We Can Work It Out""","UK: A Collection of Beatles Oldies
US: Yesterday and Today","McCartney
(with Lennon)","McCartney
(with Lennon)",1965,"Non-album single
Double A-side with ""Day Tripper""",[47][14]
"""What Goes On""","UK: Rubber Soul
US: Yesterday and Today","Lennon
McCartney
Starkey[d]",Starr,1965,,[48][14]
"""What You're Doing""","UK: Beatles for Sale
US: Beatles VI",McCartney,McCartney,1964,,[42][39]
"""What's The New Mary Jane""",Anthology 3,Lennon,Lennon,1968,"""White Album"" outtake",
"""When I Get Home""","UK: A Hard Day's Night
US: Something New",Lennon,Lennon,1964,,[17][18]
"""When I'm Sixty-Four""",Sgt. Pepper's Lonely Hearts Club Band,McCartney,McCartney,1966,,[36]
"""While My Guitar Gently Weeps""",The Beatles,Harrison,Harrison,1968,"Eric Clapton plays lead guitar
(uncredited)",[22]
"""Why Don't We Do It in the Road?""",The Beatles,McCartney,McCartney,1968,,[30]
"""Wild Honey Pie""",The Beatles,McCartney,McCartney,1968,,[22]
"""With a Little Help from My Friends""",Sgt. Pepper's Lonely Hearts Club Band,"Lennon
McCartney","Starr
(with Lennon and McCartney)",1967,,[28]
"""Within You Without You""",Sgt. Pepper's Lonely Hearts Club Band,Lennon,Lennon,1967,,[36]
"""Woman""",Let It Be film,McCartney (as Bernard Webb),McCartney,1965,"Single by Peter and Gordon
(January 1966)",
"""The Word""",Rubber Soul,"Lennon
McCartney","Lennon
(with McCartney and Harrison)",1965,,[41]
"""Words of Love""","UK: Beatles for Sale
US: Beatles VI",Buddy Holly,"Lennon
McCartney",1964,Cover,[42][24]
"""Yellow Submarine""",Revolver,"McCartney
(with Lennon)",Starr,1966,,[43]
"""Yer Blues""",The Beatles,Lennon,Lennon,1968,,[29]
"""Yes It Is""","UK: Rarities
US: Beatles VI",Lennon,"Lennon, McCartney and Harrison",1965,"Non-album single
B-side of ""Ticket to Ride""",[39]
"""Yesterday""","UK: Help!
US: Yesterday and Today",McCartney,McCartney,1965,,[5][6]
"""You Can't Do That""","UK: A Hard Day's Night
US: The Beatles Second Album",Lennon,Lennon,1964,,[17][38]
"""You Know My Name (Look Up the Number)""","UK: Rarities
US: Rarities","Lennon
(with McCartney)","Lennon
McCartney",1967,"Non-album single
B-side of ""Let It Be""",
"""You Know What to Do""",Anthology 1,Harrison,Harrison,1964,,
"""You Like Me Too Much""","UK: Help!
US: Beatles VI",Harrison,Harrison,1965,,[5]
"""You Never Give Me Your Money""",Abbey Road,McCartney[61],McCartney[62],1969,,[27]
"""You Won't See Me""",Rubber Soul,McCartney,McCartney,1965,,[41]
"""You'll Be Mine""",Anthology 1,"Lennon
McCartney",McCartney,1960,,
"""Young Blood""",Live at the BBC,Jerry Leiber and Mike Stoller,Harrison,1963,Cover,
"""Your Mother Should Know""",Magical Mystery Tour,McCartney,McCartney,1967,,[31]
"""You're Going to Lose That Girl""",Help!,Lennon,Lennon,1965,,[16]
"""You've Got to Hide Your Love Away""",Help!,Lennon,Lennon,1965,,[16]
"""You've Really Got a Hold on Me""","UK: With the Beatles
US: The Beatles Second Album",Smokey Robinson,Lennon and Harrison,1963,Cover,[37][38]
